episode,step,agent,price,rd_investment,innovation_stock,market_share,marginal_cost,quantity,profit_step,cum_profit,effective_demand,economic_regime,substitute_pressure
0,0,firm_0,81.0,0.0,0.0,0.3333333432674408,82.95416259765625,66.253629123527,-275.47617058982905,-275.47617058982905,198.76088144704516,recession,0.15220653066122578
0,0,firm_1,81.0,0.0,0.0,0.3333333432674408,82.95416259765625,66.253629123527,-275.47617058982905,-275.47617058982905,198.76088144704516,recession,0.15220653066122578
0,0,firm_2,81.0,0.0,0.0,0.3333333432674408,82.95416259765625,66.253629123527,-275.47617058982905,-275.47617058982905,198.76088144704516,recession,0.15220653066122578
0,1,firm_0,83.95416259765625,0.000762617215514183,0.000762617215514183,0.33256101608276367,83.12133026123047,66.05758798889359,-90.67724546786758,-366.15341605769663,198.6329870138898,recession,0.14644400917719538
0,1,firm_1,83.95416259765625,0.006129289045929909,0.006129289045929909,0.33525964617729187,83.12133026123047,66.5936249454153,-91.08847753672126,-366.5646481265503,198.6329870138898,recession,0.14644400917719538
0,1,firm_2,83.95416259765625,0.0,0.0,0.33217936754226685,83.12133026123047,65.98177999930522,-90.61908800053516,-366.0952585903642,198.6329870138898,recession,0.14644400917719538
0,2,firm_0,84.12133026123047,0.000697319395840168,0.001459936611354351,0.33176833391189575,80.5809097290039,63.48121248278155,83.18024808791415,-282.9731679697825,191.341987748715,recession,0.14610408805137814
0,2,firm_1,84.12133026123047,0.006080204620957375,0.012209493666887283,0.33719322085380554,80.5809097290039,64.51922113355862,85.19441956237915,-281.37022856417116,191.341987748715,recession,0.14610408805137814
0,2,firm_2,84.12133026123047,0.0,0.0,0.3310384452342987,80.5809097290039,63.341554132374846,82.9092521816001,-283.1860064087641,191.341987748715,recession,0.14610408805137814
0,3,firm_0,81.5809097290039,0.0007124477997422218,0.002172384411096573,0.33109408617019653,77.02873992919922,68.29576917637077,161.62070719153417,-121.35246077824831,206.27299619378832,recession,0.14533782012000845
0,3,firm_1,81.5809097290039,0.00537221459671855,0.01758170872926712,0.3388972878456116,77.02873992919922,69.90535896586302,166.37248814049144,-114.99774042367972,206.27299619378832,recession,0.14533782012000845
0,3,firm_2,81.5809097290039,0.0,0.0,0.3300085961818695,77.02873992919922,68.07186190414019,160.95969492987751,-122.2263114788866,206.27299619378832,recession,0.14533782012000845
0,4,firm_0,80.0,0.0006536180153489113,0.002826002426445484,0.330310583114624,77.37004089355469,69.0767805055655,31.14625910427003,-90.20620167397828,209.1267553531415,recession,0.14204327497906927
0,4,firm_1,80.0,0.0058648353442549706,0.023446545004844666,0.3407896161079407,77.37004089355469,71.26822667469632,33.40335734399741,-81.5943830796823,209.1267553531415,recession,0.14204327497906927
0,4,firm_2,80.0,0.0,0.0,0.3288998007774353,77.37004089355469,68.78174817287969,30.842387887885707,-91.3839235910009,209.1267553531415,recession,0.14204327497906927
0,5,firm_0,80.0,0.0006569651886820793,0.0034829676151275635,0.32948195934295654,73.96788787841797,103.33288631926284,417.98293799208295,327.77673631810467,313.6222891393699,boom,0.1397663590043644
0,5,firm_1,80.0,0.0060969931073486805,0.02954353764653206,0.3427729606628418,73.96788787841797,107.50124057815964,436.45754959290207,354.86316651321977,313.6222891393699,boom,0.1397663590043644
0,5,firm_2,80.0,0.0,0.0,0.3277450501918793,73.96788787841797,102.78815289527486,415.56861840217425,324.18469481117336,313.6222891393699,boom,0.1397663590043644
0,6,firm_0,80.0,0.00021644774824380875,0.0036994153633713722,0.3291217088699341,81.91949462890625,103.23079080354206,-403.3202137731532,-75.54347745504856,313.65536827696144,boom,0.14784932996065595
0,6,firm_1,80.0,0.0024750155862420797,0.03201855346560478,0.34360259771347046,81.91949462890625,107.7727993267392,-419.3057886789338,-64.44262216571406,313.65536827696144,boom,0.14784932996065595
0,6,firm_2,80.0,0.0,0.0,0.32727566361427307,81.91949462890625,102.65176879902177,-401.2823489358834,-77.09765412471006,313.65536827696144,boom,0.14784932996065595
0,7,firm_0,82.91949462890625,0.000273670069873333,0.003973085433244705,0.3287528455257416,81.75617218017578,103.6485335534547,-85.2609878285457,-160.80446528359425,315.27798151130816,boom,0.14652197332865538
0,7,firm_1,82.91949462890625,0.0026254092808812857,0.03464396297931671,0.3444781005382538,81.75617218017578,108.60636021255013,-87.4259597745513,-151.86858194026536,315.27798151130816,boom,0.14652197332865538
0,7,firm_2,82.91949462890625,0.0,0.0,0.326769083738327,81.75617218017578,103.02309714131937,-84.98787378387533,-162.0855279085854,315.27798151130816,boom,0.14652197332865538
0,8,firm_0,82.75617218017578,0.00022673513740301132,0.0041998205706477165,0.32837313413619995,84.38565826416016,95.63894726256099,-348.86464927392626,-509.6691145575205,291.2508281596893,boom,0.15078011683033904
0,8,firm_1,82.75617218017578,0.0025844741612672806,0.03722843527793884,0.34535202383995056,84.38565826416016,100.58406295001038,-364.83483190164225,-516.7034138419076,291.2508281596893,boom,0.15078011683033904
0,8,firm_2,82.75617218017578,0.0,0.0,0.3262748420238495,84.38565826416016,95.02781794711797,-346.89101565161855,-508.97654356020394,291.2508281596893,boom,0.15078011683033904
0,9,firm_0,85.38565826416016,0.0002676248550415039,0.00446744542568922,0.32792073488235474,77.9641342163086,93.23524046744596,502.7711944848779,-6.8979200726425915,284.32249183905725,boom,0.14715029623910014
0,9,firm_1,85.38565826416016,0.00307008670642972,0.040298521518707275,0.3463912904262543,77.9641342163086,98.48683484533919,533.3434769776559,16.640063135748278,284.32249183905725,boom,0.14715029623910014
0,9,firm_2,85.38565826416016,0.0,0.0,0.3256880044937134,77.9641342163086,92.60042499974266,499.07560097727765,-9.900942582926291,284.32249183905725,boom,0.14715029623910014
0,10,firm_0,80.0,0.00021608546376228333,0.004683530889451504,0.3270314335823059,75.83806610107422,98.32577009002694,211.90412352928797,205.00620345664538,300.6615266702817,boom,0.14133617350837166
0,10,firm_1,80.0,0.005461119581013918,0.045759640634059906,0.3482756018638611,75.83806610107422,104.71307415839969,228.2679728559424,244.90803599169067,300.6615266702817,boom,0.14133617350837166
0,10,firm_2,80.0,0.0,0.0,0.324692964553833,75.83806610107422,97.6226824218551,210.10285940061658,200.2019168176903,300.6615266702817,boom,0.14133617350837166
